"date","product_id","current_stock_level","optimal_stock_quantity","recommendation"
"2020-01-19 00:00:00","PD1005",173,28,"Reduce stock level"
"2020-01-20 00:00:00","PD1005",173,28,"Reduce stock level"
"2020-01-21 00:00:00","PD1005",170,28,"Reduce stock level"
"2020-01-22 00:00:00","PD1005",167,28,"Reduce stock level"
"2020-01-23 00:00:00","PD1005",165,28,"Reduce stock level"
"2020-01-24 00:00:00","PD1005",163,28,"Reduce stock level"
"2020-01-25 00:00:00","PD1005",161,28,"Reduce stock level"
"2020-01-26 00:00:00","PD1005",157,28,"Reduce stock level"
"2020-01-27 00:00:00","PD1005",153,28,"Reduce stock level"
"2020-01-28 00:00:00","PD1005",150,28,"Reduce stock level"
"2020-01-29 00:00:00","PD1005",147,28,"Reduce stock level"
"2020-01-30 00:00:00","PD1005",144,28,"Reduce stock level"
"2020-01-31 00:00:00","PD1005",140,28,"Reduce stock level"
"2020-01-01 00:00:00","PD1006",136,86,"Reduce stock level"
"2020-01-02 00:00:00","PD1006",126,86,"Reduce stock level"
"2020-01-03 00:00:00","PD1006",116,86,"Reduce stock level"
"2020-01-04 00:00:00","PD1006",111,86,"Reduce stock level"
"2020-01-05 00:00:00","PD1006",99,86,"Reduce stock level"
"2020-01-20 00:00:00","PD1006",500,86,"Reduce stock level"
"2020-01-21 00:00:00","PD1006",495,86,"Reduce stock level"
"2020-01-22 00:00:00","PD1006",490,86,"Reduce stock level"
"2020-01-23 00:00:00","PD1006",486,86,"Reduce stock level"
"2020-01-24 00:00:00","PD1006",480,86,"Reduce stock level"
"2020-01-25 00:00:00","PD1006",464,86,"Reduce stock level"
"2020-01-26 00:00:00","PD1006",462,86,"Reduce stock level"
"2020-01-27 00:00:00","PD1006",462,86,"Reduce stock level"
"2020-01-28 00:00:00","PD1006",454,86,"Reduce stock level"
"2020-01-29 00:00:00","PD1006",441,86,"Reduce stock level"
"2020-01-30 00:00:00","PD1006",426,86,"Reduce stock level"
"2020-01-31 00:00:00","PD1006",421,86,"Reduce stock level"
"2020-01-01 00:00:00","PD1007",500,229,"Reduce stock level"
"2020-01-02 00:00:00","PD1007",472,229,"Reduce stock level"
"2020-01-03 00:00:00","PD1007",454,229,"Reduce stock level"
"2020-01-04 00:00:00","PD1007",434,229,"Reduce stock level"
"2020-01-05 00:00:00","PD1007",423,229,"Reduce stock level"
"2020-01-06 00:00:00","PD1007",403,229,"Reduce stock level"
"2020-01-07 00:00:00","PD1007",385,229,"Reduce stock level"
"2020-01-08 00:00:00","PD1007",356,229,"Reduce stock level"
"2020-01-09 00:00:00","PD1007",328,229,"Reduce stock level"
"2020-01-10 00:00:00","PD1007",310,229,"Reduce stock level"
"2020-01-11 00:00:00","PD1007",289,229,"Reduce stock level"
"2020-01-12 00:00:00","PD1007",263,229,"Reduce stock level"
"2020-01-13 00:00:00","PD1007",252,229,"Reduce stock level"
"2020-01-23 00:00:00","PD1007",500,229,"Reduce stock level"
"2020-01-24 00:00:00","PD1007",488,229,"Reduce stock level"
"2020-01-25 00:00:00","PD1007",470,229,"Reduce stock level"
"2020-01-26 00:00:00","PD1007",449,229,"Reduce stock level"
"2020-01-27 00:00:00","PD1007",425,229,"Reduce stock level"
"2020-01-28 00:00:00","PD1007",412,229,"Reduce stock level"
"2020-01-29 00:00:00","PD1007",392,229,"Reduce stock level"
"2020-01-30 00:00:00","PD1007",362,229,"Reduce stock level"
"2020-01-31 00:00:00","PD1007",319,229,"Reduce stock level"
"2020-01-10 00:00:00","PD1008",500,84,"Reduce stock level"
"2020-01-11 00:00:00","PD1008",493,84,"Reduce stock level"
"2020-01-12 00:00:00","PD1008",487,84,"Reduce stock level"
"2020-01-13 00:00:00","PD1008",478,84,"Reduce stock level"
"2020-01-14 00:00:00","PD1008",476,84,"Reduce stock level"
"2020-01-15 00:00:00","PD1008",467,84,"Reduce stock level"
"2020-01-16 00:00:00","PD1008",461,84,"Reduce stock level"
"2020-01-17 00:00:00","PD1008",457,84,"Reduce stock level"
"2020-01-18 00:00:00","PD1008",456,84,"Reduce stock level"
"2020-01-19 00:00:00","PD1008",454,84,"Reduce stock level"
"2020-01-20 00:00:00","PD1008",445,84,"Reduce stock level"
"2020-01-21 00:00:00","PD1008",431,84,"Reduce stock level"
"2020-01-22 00:00:00","PD1008",431,84,"Reduce stock level"
"2020-01-23 00:00:00","PD1008",422,84,"Reduce stock level"
"2020-01-24 00:00:00","PD1008",413,84,"Reduce stock level"
"2020-01-25 00:00:00","PD1008",412,84,"Reduce stock level"
"2020-01-26 00:00:00","PD1008",406,84,"Reduce stock level"
"2020-01-27 00:00:00","PD1008",404,84,"Reduce stock level"
"2020-01-28 00:00:00","PD1008",389,84,"Reduce stock level"
"2020-01-29 00:00:00","PD1008",385,84,"Reduce stock level"
"2020-01-30 00:00:00","PD1008",369,84,"Reduce stock level"
"2020-01-31 00:00:00","PD1008",352,84,"Reduce stock level"
"2020-01-01 00:00:00","PD1009",161,79,"Reduce stock level"
"2020-01-02 00:00:00","PD1009",155,79,"Reduce stock level"
"2020-01-03 00:00:00","PD1009",155,79,"Reduce stock level"
"2020-01-04 00:00:00","PD1009",147,79,"Reduce stock level"
"2020-01-05 00:00:00","PD1009",141,79,"Reduce stock level"
"2020-01-06 00:00:00","PD1009",136,79,"Reduce stock level"
"2020-01-07 00:00:00","PD1009",134,79,"Reduce stock level"
"2020-01-08 00:00:00","PD1009",128,79,"Reduce stock level"
"2020-01-09 00:00:00","PD1009",112,79,"Reduce stock level"
"2020-01-10 00:00:00","PD1009",104,79,"Reduce stock level"
"2020-01-11 00:00:00","PD1009",94,79,"Reduce stock level"
"2020-01-12 00:00:00","PD1009",92,79,"Reduce stock level"
"2020-01-23 00:00:00","PD1009",500,79,"Reduce stock level"
"2020-01-24 00:00:00","PD1009",496,79,"Reduce stock level"
"2020-01-25 00:00:00","PD1009",489,79,"Reduce stock level"
"2020-01-26 00:00:00","PD1009",484,79,"Reduce stock level"
"2020-01-27 00:00:00","PD1009",478,79,"Reduce stock level"
"2020-01-28 00:00:00","PD1009",478,79,"Reduce stock level"
"2020-01-29 00:00:00","PD1009",478,79,"Reduce stock level"
"2020-01-30 00:00:00","PD1009",472,79,"Reduce stock level"
"2020-01-31 00:00:00","PD1009",469,79,"Reduce stock level"
"2020-01-01 00:00:00","PD1010",347,29,"Reduce stock level"
"2020-01-02 00:00:00","PD1010",343,29,"Reduce stock level"
"2020-01-03 00:00:00","PD1010",339,29,"Reduce stock level"
"2020-01-04 00:00:00","PD1010",335,29,"Reduce stock level"
"2020-01-05 00:00:00","PD1010",334,29,"Reduce stock level"
"2020-01-06 00:00:00","PD1010",330,29,"Reduce stock level"
"2020-01-07 00:00:00","PD1010",328,29,"Reduce stock level"
"2020-01-08 00:00:00","PD1010",326,29,"Reduce stock level"
"2020-01-09 00:00:00","PD1010",323,29,"Reduce stock level"
"2020-01-10 00:00:00","PD1010",319,29,"Reduce stock level"
"2020-01-11 00:00:00","PD1010",315,29,"Reduce stock level"
"2020-01-12 00:00:00","PD1010",312,29,"Reduce stock level"
"2020-01-13 00:00:00","PD1010",308,29,"Reduce stock level"
"2020-01-14 00:00:00","PD1010",306,29,"Reduce stock level"
"2020-01-15 00:00:00","PD1010",306,29,"Reduce stock level"
"2020-01-16 00:00:00","PD1010",303,29,"Reduce stock level"
"2020-01-17 00:00:00","PD1010",302,29,"Reduce stock level"
"2020-01-18 00:00:00","PD1010",299,29,"Reduce stock level"
"2020-01-19 00:00:00","PD1010",295,29,"Reduce stock level"
"2020-01-20 00:00:00","PD1010",293,29,"Reduce stock level"
"2020-01-21 00:00:00","PD1010",291,29,"Reduce stock level"
"2020-01-22 00:00:00","PD1010",287,29,"Reduce stock level"
"2020-01-23 00:00:00","PD1010",284,29,"Reduce stock level"
"2020-01-24 00:00:00","PD1010",284,29,"Reduce stock level"
"2020-01-25 00:00:00","PD1010",283,29,"Reduce stock level"
"2020-01-26 00:00:00","PD1010",283,29,"Reduce stock level"
"2020-01-27 00:00:00","PD1010",279,29,"Reduce stock level"
"2020-01-28 00:00:00","PD1010",279,29,"Reduce stock level"
"2020-01-29 00:00:00","PD1010",276,29,"Reduce stock level"
"2020-01-30 00:00:00","PD1010",273,29,"Reduce stock level"
"2020-01-31 00:00:00","PD1010",269,29,"Reduce stock level"
